pop	clust1	clust2	clust3	clust4	clust5	clust6
Tillamook	0.1049	0.0163	0.3177	0.2800	0.0027	0.2785
Tillamook	0.6186	0.0043	0.1082	0.1159	0.0021	0.1508
Tillamook	0.5184	0.0163	0.1145	0.1637	0.0063	0.1808
Tillamook	0.1311	0.0381	0.2840	0.3563	0.0029	0.1876
Tillamook	0.1025	0.0077	0.3409	0.2828	0.0071	0.2590
Tillamook	0.5111	0.0174	0.1367	0.1616	0.0076	0.1656
Tillamook	0.3936	0.0474	0.1086	0.1226	0.1670	0.1609
Tillamook	0.1887	0.1114	0.2285	0.2009	0.0063	0.2642
Tillamook	0.1508	0.0243	0.2702	0.3648	0.0076	0.1823
Tillamook	0.2452	0.0214	0.2728	0.2323	0.0026	0.2256
Tillamook	0.1748	0.0061	0.3137	0.3081	0.0021	0.1951
Tillamook	0.0543	0.2822	0.2546	0.2412	0.0029	0.1648
Tillamook	0.1602	0.0119	0.3495	0.2514	0.0100	0.2171
Tillamook	0.1549	0.0423	0.2869	0.2379	0.0079	0.2703
Tillamook	0.2588	0.0383	0.2521	0.2089	0.0036	0.2383
Tillamook	0.0411	0.0211	0.3612	0.2597	0.0073	0.3095
Tillamook	0.3406	0.0154	0.1917	0.1518	0.0021	0.2983
Tillamook	0.1010	0.0606	0.2977	0.2379	0.0054	0.2974
Tillamook	0.1360	0.0249	0.2657	0.2835	0.0051	0.2848
Tillamook	0.1547	0.0060	0.2449	0.2533	0.0091	0.3320
Tillamook	0.0483	0.0076	0.3761	0.2600	0.0047	0.3033
Tillamook	0.0454	0.0151	0.3675	0.2506	0.0109	0.3105
Tillamook	0.1205	0.0086	0.2207	0.1867	0.0071	0.4564
Tillamook	0.1314	0.0486	0.2627	0.2158	0.0027	0.3388
Tillamook	0.1088	0.0183	0.3328	0.3343	0.0019	0.2040
Tillamook	0.2712	0.0190	0.2632	0.2477	0.0036	0.1953
Tillamook	0.2374	0.0127	0.2791	0.2802	0.0050	0.1856
Tillamook	0.1291	0.0970	0.2502	0.2318	0.0100	0.2819
Tillamook	0.1395	0.0103	0.3253	0.3157	0.0057	0.2035
Tillamook	0.1356	0.0071	0.3129	0.3487	0.0054	0.1903
Tillamook	0.1587	0.0110	0.2889	0.2763	0.0043	0.2608
Tillamook	0.1525	0.0676	0.2428	0.1978	0.0163	0.3230
Tillamook	0.0517	0.0253	0.3496	0.2623	0.0050	0.3062
Tillamook	0.1258	0.0101	0.2615	0.2257	0.0040	0.3729
Tillamook	0.2573	0.0321	0.2634	0.2674	0.0083	0.1716
Tillamook	0.1051	0.0071	0.2142	0.1439	0.0043	0.5253
Tillamook	0.1014	0.0109	0.2074	0.1507	0.0066	0.5230
Tillamook	0.1340	0.0523	0.2736	0.2623	0.0163	0.2616
Yaquina	0.0221	0.8820	0.0316	0.0347	0.0043	0.0253
Yaquina	0.0064	0.9741	0.0057	0.0057	0.0019	0.0061
Yaquina	0.0137	0.9077	0.0186	0.0210	0.0143	0.0247
Yaquina	0.0480	0.7986	0.0552	0.0506	0.0037	0.0439
Yaquina	0.0173	0.8964	0.0279	0.0344	0.0027	0.0213
Yaquina	0.0066	0.9720	0.0059	0.0063	0.0034	0.0059
Yaquina	0.0628	0.5731	0.1030	0.1077	0.0064	0.1470
Yaquina	0.0039	0.9851	0.0031	0.0034	0.0014	0.0030
Yaquina	0.0497	0.7743	0.0563	0.0663	0.0014	0.0520
